property_name,location,size,acquisition_data,number_of_units
Sunset Villas,"Los Angeles, CA",25000 sq ft,2018-05-15,120
Oceanview Condos,"Miami, FL",34000 sq ft,2019-03-22,85
Greenwood Estates,"Austin, TX",12000 sq ft,2020-07-10,55
Lakeside Apartments,"Chicago, IL",15000 sq ft,2017-11-05,60
Hillside Cottages,"Denver, CO",18000 sq ft,2021-01-18,48
Maplewood Towers,"New York, NY",40000 sq ft,2016-06-29,200
Pinecrest Lofts,"San Francisco, CA",32000 sq ft,2015-08-13,75
Riverview Plaza,"Boston, MA",29000 sq ft,2018-09-14,90
Meadowbrook Homes,"Seattle, WA",27000 sq ft,2019-02-25,100
Willow Park Gardens,"Portland, OR",23000 sq ft,2020-12-08,65
